CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de Capmany,96,ARTQUADERNA,activitat_econòmica,Enquadernació i activitats dels serveis que s'hi relacionen,41.5487,2.11306,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Capmany, 96 Bxs",Enquadernació i activitats dels serveis que s'hi relacionen
,c. de Sant Llorenç,80,ASINCO,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5512,2.10677,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Llorenç, 80 Bxs","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de l' Horta Novella,93,ASSEGURANCES DAUDER,activitat_econòmica,Activitats d'agents i corredors d'assegurances,41.5473,2.0993,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Horta Novella, 93 Bxs",Activitats d'agents i corredors d'assegurances
,c. del Convent,50,ASSESSORIA,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5493,2.10911,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Convent, 50 Bxs 1a","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de l' Estació,56,ASSESSORIA D EMPRESES M ALVAREZ SL,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5409,2.11164,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Estació, 56 1r 2a","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de Felip Benessat,32,ASSESSORIA JURIDICA,activitat_econòmica,Activitats jurídiques,41.546,2.10477,,,,sabadellempresa.cat,COVADONGA,1,"c. de Felip Benessat, 32 Bxs 1a",Activitats jurídiques
,c. de Sant Cristòfol,6,ASSESSORIA MARTI,activitat_econòmica,Serveis administratius combinats,41.5462,2.11341,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Cristòfol, 6 Bxs",Serveis administratius combinats
,pg. de la Plaça Major,21,ASSESSORIA MONFER,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5466,2.10053,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de la Plaça Major, 21 1r 1a","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de Gràcia,101,ASSISTENCIA SANITARIA,activitat_econòmica,"Assegurances, excepte assegurances de vida",41.5512,2.10619,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Gràcia, 101 Bxs","Assegurances, excepte assegurances de vida"
,ctra. de Terrassa,76,ASTON & AUDREY INVERSIONS SL,activitat_econòmica,Promoció immobiliària,41.5467,2.11192,,,,sabadellempresa.cat,EL CENTRE,1,"ctra. de Terrassa, 76 Bxs 2a",Promoció immobiliària
,rda. de Ponent,172,ATELIER DESCANS,activitat_econòmica,"Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús dom",41.5436,2.10425,,,,sabadellempresa.cat,EL CENTRE,1,"rda. de Ponent, 172 Bxs","Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats"
,c. d' Àngel Guimerà,1,ATENCIO LEGAL ADVOCATS MEDIADORS,activitat_econòmica,Activitats jurídiques,41.5509,2.10854,,,,sabadellempresa.cat,EL CENTRE,1,"c. d' Àngel Guimerà, 1 Ent",Activitats jurídiques
,c. de Gràcia,185,ATLANTIDA VIATGES,activitat_econòmica,Activitats de les agències de viatges,41.5472,2.11503,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Gràcia, 185 Bxs",Activitats de les agències de viatges
,Rambla,75,ATLANTIS,activitat_econòmica,Activitats d'agents i corredors d'assegurances,41.5528,2.11394,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 75 Bxs",Activitats d'agents i corredors d'assegurances
,c. de Joan Plans,38,ATTICA,activitat_econòmica,Establiments de begudes,41.5468,2.11083,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Joan Plans, 38 Bxs",Establiments de begudes
,c. de Portugal,61,AUREP DOS SL,activitat_econòmica,Reparació de maquinària,41.5473,2.10851,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Portugal, 61 Bxs",Reparació de maquinària
,c. de Covadonga,491,AUTO TALLER COVADONGA,activitat_econòmica,Manteniment i reparació de vehicles de motor,41.5463,2.10588,,,,sabadellempresa.cat,COVADONGA,1,"c. de Covadonga, 491 Bxs",Manteniment i reparació de vehicles de motor
,c. de l' Estació,67,AUTOBUSOS INTERURBAN,activitat_econòmica,Activitats afins al transport terrestre,41.5488,2.10612,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Estació, 67 Bxs",Activitats afins al transport terrestre
,c. de les Valls,41,AUTODANI 301 SL,activitat_econòmica,Venda d'automòbils i vehicles de motor lleuger,41.5443,2.10052,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Valls, 41 3r 3a",Venda d'automòbils i vehicles de motor lleuger
