CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,GRUP,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,Carrer de les Valls,28,Psicologia Raya Tena,Salut - Medicina,doctors,Sanitat,41.5473,2.1055,,937275997,,Sanitas,,1,Carrer de les Valls 28,
,Carrer de Josep Renom,42,SALUESPORT Fisioterapia Osteopatia,Salut - Medicina,physiotherapy,Sanitat,41.5498,2.1053,saluesportsabadell.centrefisio.cat,693817487,Mo-Th 09:00-20:30; Fr 09:00-14:00,WebSearch_2026,,1,Carrer de Josep Renom 42,
,Carrer de l'Estrella,167,Centre Fisioterapia Osteopatia Teresa Rodriguez Creus,Salut - Medicina,physiotherapy,Sanitat,41.5479,2.1004,,,,WebSearch_2026,,1,Carrer de l'Estrella 167,
,Rambla,9,Elena Reig Psicòloga,Salut - Medicina,psychologist,Sanitat,41.5530,2.1088,psicologos-sabadell.com,659856181,Mo-Fr adapt.,WebSearch_2026,,1,Rambla 9,
,Carrer de les Valls,26-28,Sigma Salut,Salut - Medicina,health_center,Sanitat,41.5473,2.1055,sigmasalut.com,931935745,Mo-Fr,WebSearch_2026,,1,Carrer de les Valls 26-28,
,Carrer de Félix Amat,1,Centre de Psicologia Clínica Rambla,Salut - Medicina,psychologist,Sanitat,41.5535,2.1082,centrepsicologiaclinicarambla.com,937277969,Mo-Fr,WebSearch_2026,,1,Carrer de Félix Amat 1,
,Rambla,2,Centre Giner Psicologia Psicopedagogia Logopèdia,Salut - Medicina,psychologist,Sanitat,41.5461,2.1091,cginer.es,671790847,Mo-Fr 10:00-13:00; 15:15-20:30,WebSearch_2026,,1,Rambla 2,
,Carrer de Garcilaso,143,KineStetic Sabadell,Salut - Medicina,physiotherapy,Sanitat,41.5460,2.0995,fisioterapeutasabadell.com,931414751,Mo-Fr 09:30-13:00; 16:30-21:00,WebSearch_2026,,1,Carrer de Garcilaso 143,
,Ronda de Zamenhof,1-3,Vivantadental Sabadell,Salut - Medicina,dentist,Sanitat,41.5420,2.1170,vivantadental.es,937466206,Mo-Fr 10:00-14:00; 16:00-20:00,WebSearch_2026,,1,Ronda de Zamenhof 1-3,
,Carrer de les Valls,10,IO Institutos Odontológicos Sabadell,Salut - Medicina,dentist,Sanitat,41.5468,2.1060,ioa.es,,,WebSearch_2026,,1,Carrer de les Valls 10,
,Carrer de Sant Quirze,34,Resplendent Clínica Dental,Salut - Medicina,dentist,Sanitat,41.5435,2.1141,resplendent.es,930109681,,WebSearch_2026,,1,Carrer de Sant Quirze 34,
,Carrer de Gràcia,103,Clínica Dental Doctora Marrero,Salut - Medicina,dentist,Sanitat,41.5490,2.1025,dramarrero.com,937257562,,WebSearch_2026,,1,Carrer de Gràcia 103,
,Carrer de Calderón,194,Institut Implantològic Dental,Salut - Medicina,dentist,Sanitat,41.5462,2.1010,inidental.com,931641165,,WebSearch_2026,,1,Carrer de Calderón 194,
,c. de Torras i Bages,1A,Iknos Centre Sanitari,Salut - Medicina,podiatrist,Sanitat,41.5461,2.1105,www.centreiknos.com,936771798,,WebSearch_2026,,1,c. de Torras i Bages 1A,
,c. de Torras i Bages,1A,Manel Torralba Fisioterapeuta,Salut - Medicina,physiotherapy,Sanitat,41.5461,2.1105,www.maneltorralbafisio.com,,,WebSearch_2026,,1,c. de Torras i Bages 1A,
,c. de Zurbano,7,Espai Teleret Psicologia i Logopèdia,Salut - Medicina,psychologist,Sanitat,41.5463,2.1165,www.espaiteleret.com,634435463,,WebSearch_2026,,1,c. de Zurbano 7,
,c. de Sant Antoni Maria Claret,1,Elixium Clinic,Salut - Medicina,Podologia,Salut,41.5462,2.1087,https://elixiumclinic.com,937277696,,WebSearch_2026,,1,c. de Sant Antoni Maria Claret 1,
,c. d'Alemanya,57,Cardiologia Padilla & Moure,Salut - Medicina,Cardiologia,Salut,41.5469,2.1065,https://www.cardiopadillamoure.com,937273511,,WebSearch_2026,,1,c. d'Alemanya 57,
,c. del Pare Sallarès,2C,Menja sa,Salut - Medicina,Nutrició i dietètica,Salut,41.5492,2.1064,https://menjasa.es,938643276,,WebSearch_2026,,1,c. del Pare Sallarès 2C,
,pg. de la Plaça Major,72,Creixent Salut Integral,Salut - Medicina,Centre de salut integral,Salut,41.5459,2.1084,,,,WebSearch_2026,,1,pg. de la Plaça Major 72,
,c. del Convent,43B,FísicSalut Fisioteràpia,Salut - Medicina,Fisioterapia,Salut,41.5467,2.1103,,,,WebSearch_2026,,1,c. del Convent 43B,
,pl. de l'Àngel,6,Alimmenta,Salut - Medicina,Nutrició i dietètica,Salut,41.5503,2.09947,https://alimmenta.com,932189532,,WebSearch_2026,,1,pl. de l'Àngel 6,
,c. d'Arimon,17,ARS Salut Esportiva,Salut - Medicina,FISIOTERAPIA,Salut,41.5422,2.1117,arssalutesportiva.com,931285419,Dil-Div 9-22h Dis 9-14h,WebSearch_2026,,1,c. d'Arimon 17,
,c. de Brutau,139,Smile Medic Clínica Dental,Salut - Medicina,CLÍNICA DENTAL,Salut,41.5427,2.1165,smilemedic.es,678792185,,WebSearch_2026,,1,c. de Brutau 139,
,Carrer de Gràcia,72,ZIVING ORTODONCIA,Salut - Dental,Clínica dental,Salut dental,41.54910980,2.10599060,,937155840,,dentistaentuciudad_2026,,1,Carrer de Gràcia 72,
,Carrer de Coromines,114,CLÍNICA DENTAL DR. XAVIER PUJOL,Salut - Dental,Clínica dental,Salut dental,41.55084880,2.10260940,,937276389,,dentistaentuciudad_2026,,1,Carrer de Coromines 114,
,Carretera de Barcelona,121,MON DE SOMRIURES,Salut - Dental,Clínica dental,Salut dental,41.54085520,2.10577020,,937264987,,dentistaentuciudad_2026,,1,Carretera de Barcelona 121,
,Carrer de Jovellanos,36,CARLOS PLA GOMEZ,Salut - Dental,Clínica dental,Salut dental,41.54847840,2.10520500,,937259978,,dentistaentuciudad_2026,,1,Carrer de Jovellanos 36,
,Carrer de Calderón,38,CENTRE DENTAL SABADELL,Salut - Dental,Clínica dental,Salut dental,41.54819430,2.10614970,,937268238,,dentistaentuciudad_2026,,1,Carrer de Calderón 38,
,Ronda de Zamenhof,3,CLINICA DENTAL DR. IVAN DIAZ BARRERA,Salut - Dental,Clínica dental,Salut dental,41.55206950,2.10620630,,937258888,,dentistaentuciudad_2026,,1,Ronda de Zamenhof 3,
,Carrer del Doctor Puig,33,PROPISET 03,Salut - Dental,Clínica dental,Salut dental,41.54950680,2.10897170,,937255782,,dentistaentuciudad_2026,,1,Carrer del Doctor Puig 33,
,Ronda de Zamenhof,96,Funnydent Sabadell,Salut - Dental,Clínica dental,Salut dental,41.55079050,2.10114480,,917373785,,dentistaentuciudad_2026,,1,Ronda de Zamenhof 96,
,Carrer de Gràcia,51,CENTRO MÉDICO CERDÀ,Salut - Medicina,Centre mèdic,Salut,41.5482,2.10842,,,,WebSearch_2026,,1,Carrer de Gràcia 51,
,Carrer de l'Escola Industrial,4,TRAFFIC CENTRE MÈDIC,Salut - Medicina,Centre mèdic,Salut,41.5476,2.1064,,,,WebSearch_2026,,1,Carrer de l'Escola Industrial 4,
,Carrer de Sallarès i Pla,73,Centre d'Especialistes Sabadell,Salut - Medicina,Centre mèdic,Salut,41.5489,2.1069,,,,WebSearch_2026,,1,Carrer de Sallarès i Pla 73,
,Passeig de la Plaça Major,58,Farmàcia Llic. Jordi Joan Llop,Salut - Medicina,Farmàcia,Salut,41.5479,2.1082,,937255353,,WebSearch_2026,,1,Passeig de la Plaça Major 58,
,Carrer de Corominas,15,ÓPTICA HOSPITALARIA SABADELL,Salut - Òptica,Òptica,COMERÇ I SERVEIS,41.5473,2.1047,,937273752,,WebSearch_2026,,1,Carrer de Corominas 15,
,Passeig de la Plaça Major,2,AFFLELOU,Salut - Òptica,Òptica,COMERÇ I SERVEIS,41.5469,2.1083,,629871597,,WebSearch_2026,,1,Passeig de la Plaça Major 2,
,Plaça de Joan Oliu,9,CAP Centre (ABS Sabadell 1-A),Salut - Medicina,Centre d'Atenció Primària,SALUT,41.5446,2.1073,,937256585,,web.sabadell.cat,,1,Plaça de Joan Oliu 9,
