CODNUM,NUMCOM,TIPUS,CODVIA,NOMVIA,LAT,LNG
113327,501,,1295,rda. d' Europa,41.56059953,2.08193374
113328,503,,1295,rda. d' Europa,41.56063842,2.08191987
113335,517,,1295,rda. d' Europa,41.5617186,2.08161883
113367,102,,1296,av. d' Estrasburg,41.56124178,2.0814486
113368,103,,1296,av. d' Estrasburg,41.56093193,2.08144309
113383,40,,1085,c. de Juvenal,41.55715821,2.08351766
113388,50,,1085,c. de Juvenal,41.55736249,2.08328443
57073,91,,631,c. de Sant Cugat,41.54419404,2.10376337
113432,18,,650,c. de Salzburg,41.56615612,2.077516
113435,2,,856,c. d' Oslo,41.56574684,2.07860436
113438,5,,856,c. d' Oslo,41.5655926,2.07860291
113445,12,,856,c. d' Oslo,41.56556851,2.07832351
113448,15,,856,c. d' Oslo,41.56541937,2.07833009
113449,16,,856,c. d' Oslo,41.5654873,2.07819562
113455,22,,856,c. d' Oslo,41.56540896,2.07807224
113497,79,,449,c. de Zuric,41.56571206,2.07746763
113498,2,,449,c. de Zuric,41.56404909,2.0819277
113499,4,,449,c. de Zuric,41.56406054,2.08189998
113504,14,,449,c. de Zuric,41.56413062,2.08129771
113522,50,,449,c. de Zuric,41.56449401,2.07905159
113583,13,,977,c. de Marsella,41.5650012,2.07907614
113613,13,,1655,c. d' Amsterdam,41.56490899,2.08008041
113642,2,,906,c. de Mostar,41.5650989,2.08079868
56875,63,,534,ptge. de Togores,41.56125829,2.09851727
56876,61,,534,ptge. de Togores,41.56120042,2.09852793
56879,55,,534,ptge. de Togores,41.56098523,2.09856756
56882,47,,534,ptge. de Togores,41.56075162,2.09861056
56890,31,,534,ptge. de Togores,41.5602195,2.09870854
56911,4,,709,ptge. de Ribatallada,41.56073064,2.09727765
56915,39,,1666,ptge. de l' Almirall Marquet,41.56055025,2.09748005
56918,33,,1666,ptge. de l' Almirall Marquet,41.56035578,2.09751708
56925,20,,842,av. de Josep Tarradellas,41.56048218,2.09708393
56943,3,,460,pl. dels Virreis,41.56232719,2.0948541
56949,14,,1251,c. de la Font Canaleta,41.56464217,2.09732359
56950,16,,1251,c. de la Font Canaleta,41.56468177,2.09727537
56951,20,,1251,c. de la Font Canaleta,41.56475482,2.09718627
56975,24,,1212,ptge. de Gallifa,41.5656748,2.09825262
56977,26,,1212,ptge. de Gallifa,41.56571934,2.09817789
56982,26,,1014,c. de les Magnòlies,41.56823658,2.09777134
56984,22,,1014,c. de les Magnòlies,41.56819373,2.09788461
56995,21,,1396,c. de Corones,41.56917698,2.09341595
57004,90,,1675,c. d' Alemanya,41.54164753,2.10561815
57020,149,,912,c. de Montserrat,41.54225115,2.10508038
57038,3,,903,c. de Mossèn Gaietà,41.54478407,2.10456437
57084,120,,1160,c. de l' Horta Novella,41.54365708,2.10418512
57095,9,,1587,ctra. de Barcelona,41.54320709,2.10338598
57097,109,,631,c. de Sant Cugat,41.54387321,2.10349576
57109,23,,857,c. d' Osca,41.54372512,2.10452529
57160,34,,1294,c. de l' Estrella,41.54550703,2.10406114
57176,68,,1294,c. de l' Estrella,41.54613827,2.10371845
57177,21,,496,pl. del Vallès,41.54548367,2.10161056
58369,43,,724,Rambla,41.54491145,2.11003021
58370,2,,1145,c. del Jardí,41.54499846,2.1102773
58412,25,,724,Rambla,41.54536033,2.10977797
58414,8,,1671,c. de la República,41.54559652,2.11019638
58439,20,,891,c. de Narcís Giralt,41.54617654,2.11024407
58448,15,,724,Rambla,41.54565563,2.10960229
58461,31,,1671,c. de la República,41.54599327,2.1108672
58470,38,,1671,c. de la República,41.54590335,2.11108227
58475,48,,1671,c. de la República,41.54600339,2.11138299
58478,51,,1145,c. del Jardí,41.54556103,2.11156871
58486,43,,891,c. de Narcís Giralt,41.54537561,2.11096478
58491,12,,608,c. de Sant Oleguer,41.5439572,2.11137235
58495,18,,608,c. de Sant Oleguer,41.54380534,2.11144556
58521,2,,1166,c. de Gurrea,41.54267944,2.11134174
58524,14,,1166,c. de Gurrea,41.54273392,2.11155256
58529,139,,724,Rambla,41.54230269,2.11121577
58530,137,,724,Rambla,41.54233808,2.11119858
57094,148,,1160,c. de l' Horta Novella,41.54321438,2.10358772
57080,112,,1160,c. de l' Horta Novella,41.54377176,2.1043457
58537,15,,1166,c. de Gurrea,41.54283103,2.11159676
58562,142,,724,Rambla,41.5423073,2.11098116
58565,150,,724,Rambla,41.54210044,2.11108028
58570,137,,571,c. del Sol,41.54198919,2.11003426
58574,64,,764,c. de Portugal,41.54222518,2.10569138
58616,57,,764,c. de Portugal,41.54202944,2.105846
58623,43,,1275,c. de Ferran Casablancas,41.54243495,2.10676045
58627,87,,912,c. de Montserrat,41.54260752,2.10700038
58634,73,,912,c. de Montserrat,41.54269046,2.10745773
58640,61,,912,c. de Montserrat,41.54275947,2.10783814
58648,64,,606,c. de Sant Pau,41.54251524,2.10815344
58658,39,,912,c. de Montserrat,41.54289473,2.10857605
113664,24,,906,c. de Mostar,41.5647505,2.08079823
113687,563,,1295,rda. d' Europa,41.56445924,2.08232528
113772,43,,759,c. de Praga,41.56432534,2.0841915
113775,49,,759,c. de Praga,41.56439649,2.08386665
113866,110,,759,c. de Praga,41.56575143,2.07895161
113977,57,,458,c. de Walter Benjamin,41.56320585,2.07617118
135039,174A,,724,Rambla,41.54137752,2.11142933
135044,112,,1503,c. de Ca n'Alzina,41.53938242,2.13256531
135051,104,,1527,c. del Bruc,41.53485985,2.10985132
135055,48,,720,c. de Ramon Llull,41.53355686,2.11002702
135069,226,,1587,ctra. de Barcelona,41.53872855,2.10738335
58805,82,,571,c. del Sol,41.54368691,2.10940872
135078,61A,,1502,av. de Can Bordoll,41.54304815,2.13008124
135082,197B,,686,c. de Roger de Flor,41.53815848,2.10581485
135155,17,,869,c. d' Olof Palme,41.55829208,2.07179949
135158,23,,869,c. d' Olof Palme,41.55874023,2.07180663
135166,37,,869,c. d' Olof Palme,41.5597008,2.0713253
135173,55,,869,c. d' Olof Palme,41.56032293,2.06988644
135237,632,,542,ctra. de Terrassa,41.55341006,2.06300156
135250,13,,9288,Enllaç Autopista C-58 (abans A-18) amb la N-150,41.5516576,2.06764371
135258,29,,9288,Enllaç Autopista C-58 (abans A-18) amb la N-150,41.55020492,2.06747148
135286,10,,9288,Enllaç Autopista C-58 (abans A-18) amb la N-150,41.55209184,2.06750408
135347,2A,,672,rda. de la Roureda,41.56902386,2.0845383
135348,2B,,672,rda. de la Roureda,41.56919357,2.08457621
58681,22,,1675,c. d' Alemanya,41.54237163,2.10944934
58692,30,,1675,c. d' Alemanya,41.54233662,2.1092671
58694,37,,1675,c. d' Alemanya,41.54221581,2.10946086
135176,12,,1287,c. dels Fatxendes,41.55282687,2.0814227
58704,1,,605,c. de Sant Pere,41.54542634,2.10924794
58714,40,,724,Rambla,41.54506823,2.10962423
58698,142,,571,c. del Sol,41.54197563,2.10992886
58721,4,,1649,c. d' Àngel Guimerà,41.54484903,2.10928758
58734,50,,724,Rambla,41.54481709,2.10975186
58748,72,,724,Rambla,41.54428178,2.11001435
58752,82,,724,Rambla,41.54405953,2.11012329
58762,97,,571,c. del Sol,41.54352698,2.10956193
58772,94,,724,Rambla,41.54374257,2.11028168
58776,102,,724,Rambla,41.5435771,2.11036336
58780,110,,724,Rambla,41.54344448,2.11042878
58784,6,,912,c. de Montserrat,41.54323655,2.10998071
58796,27,,779,c. de les Planes,41.54366436,2.10850016
58716,44,,724,Rambla,41.54498888,2.109669
58809,90,,571,c. del Sol,41.54354605,2.10944735
58812,96,,571,c. del Sol,41.54342644,2.10948332
58818,22,,912,c. de Montserrat,41.54314836,2.10948928
58825,38,,912,c. de Montserrat,41.54305599,2.10900249
58826,97,,606,c. de Sant Pau,41.54319911,2.10811807
58830,66,,912,c. de Montserrat,41.54292002,2.10825693
58836,85,,606,c. de Sant Pau,41.5434533,2.10806599
58846,21,,1305,c. de l' Espirall,41.54315458,2.10689217
58865,54,,606,c. de Sant Pau,41.54325217,2.10800043
58869,76,,912,c. de Montserrat,41.54283155,2.10779082
58874,92,,912,c. de Montserrat,41.54275813,2.10738414
58881,106,,912,c. de Montserrat,41.54269252,2.10702117
58884,112,,912,c. de Montserrat,41.54266283,2.1068567
58896,13,,1600,c. d' Avellaneda,41.54379395,2.10681159
58898,9,,1600,c. d' Avellaneda,41.54380643,2.10690079
58903,1,,1600,c. d' Avellaneda,41.54383755,2.10712329
58905,26,,1305,c. de l' Espirall,41.54333676,2.1069956
58906,24,,1305,c. de l' Espirall,41.54336266,2.1070316
135366,11I,,548,ptge. de Teodor Llorente,41.5474777,2.09693208
135390,2,,9268,c. de Primo Levi,41.56351272,2.07472755
135440,22B,,428,camí Baix de la Clota,41.56184396,2.10758478
135442,25,,428,camí Baix de la Clota,41.56220148,2.10707833
135452,1Z,,1265,pl. de Fiveller,41.53810935,2.09990767
135513,9I,,1155,c. de l' Illa,41.54880563,2.1119048
135605,4,,1323,pl. d' Enric Morera,41.52878158,2.10542323
135614,12B,,1361,ptge. del Doctor Llonch,41.56035186,2.09633051
135620,44I,,580,c. dels Sentmenat,41.54184455,2.11876755
135627,68,,1523,c. de Budapest,41.56323124,2.08689186
135638,88,,1523,c. de Budapest,41.56376767,2.08662908
135662,130,,1523,c. de Budapest,41.56467273,2.08610209
135709,9,,447,Autopista C-58,41.51403939,2.1011283
135729,1,,863,pl. de les Tres Torres,41.52985407,2.11073165
135730,2,,863,pl. de les Tres Torres,41.52979808,2.110527
135888,4B,,1627,c. de l' Arcàdia,41.55400506,2.0905387
136646,21,,9308,c. de Can Gener,41.54277814,2.13545798
135941,47I,,541,c. de Tetuan,41.53776065,2.11107077
136073,46,,386,camí del Pla de l'Horta,41.56377607,2.10759077
136129,13I,,1141,c. de Jaume Ninet,41.56541187,2.10663121
136180,5,,9267,ptge. d'en Sangés,41.55465615,2.11714515
